OverallQual,LotFrontage,SalePrice,OverallCond,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,GarageArea,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea
4,72.0,90000,5,10791,1967,1967,0.0,0,0,1296,0,1296,6,516,0,0,0,0,0
5,66.0,159000,5,13695,2004,2004,0.0,468,1114,1114,0,1114,6,576,102,0,0,0,0
5,70.0,139000,6,7560,1958,1965,0.0,525,1029,1339,0,1339,6,294,0,0,0,0,0
8,101.0,325300,5,14215,2005,2006,380.0,1158,1158,1158,1218,2376,9,853,154,0,0,0,0
7,57.0,139400,7,7449,1930,1950,0.0,637,637,1108,0,1108,6,280,0,205,0,0,0
8,75.0,230000,5,9742,2002,2002,281.0,1777,1777,1795,0,1795,7,534,159,0,0,0,0
5,44.0,129900,7,4224,1976,1976,0.0,200,1040,1060,0,1060,6,572,110,0,0,0,0
5,,154000,8,8246,1968,2001,0.0,204,1060,1060,0,1060,6,270,90,0,0,0,0
8,110.0,256300,5,14230,2007,2007,640.0,1566,1566,1600,0,1600,7,890,56,0,0,0,0
5,60.0,134800,7,7200,1951,2000,0.0,180,900,900,0,900,5,576,32,0,0,0,0
8,98.0,306000,5,11478,2007,2008,200.0,486,1704,1704,0,1704,7,772,50,0,0,0,0
5,47.0,207500,6,16321,1957,1997,0.0,207,1484,1600,0,1600,6,319,258,0,0,0,0
4,60.0,68500,6,6324,1927,1950,0.0,520,520,520,0,520,4,240,0,87,0,0,0
4,50.0,40000,4,8500,1920,1950,0.0,649,649,649,668,1317,6,250,54,172,0,0,0
5,,149350,6,8544,1966,2006,0.0,1228,1228,1228,0,1228,6,271,65,0,0,0,0
8,85.0,179900,5,11049,2007,2007,0.0,1234,1234,1234,0,1234,7,484,30,0,0,0,0
5,70.0,165500,5,10552,1959,1959,0.0,380,1398,1700,0,1700,6,447,38,0,0,0,0
9,60.0,277500,5,7313,2005,2005,246.0,408,1561,1561,0,1561,6,556,47,0,0,0,0
8,108.0,309000,5,13418,2004,2005,132.0,1117,1117,1132,1320,2452,9,691,32,0,0,0,0
5,112.0,145000,5,10859,1994,1995,0.0,1097,1097,1097,0,1097,6,672,64,0,0,0,0
5,74.0,153000,6,8532,1954,1990,650.0,84,1297,1297,0,1297,5,498,0,0,0,0,0
5,68.0,109000,7,7922,1953,2007,0.0,326,1057,1057,0,1057,5,246,52,0,0,0,0
4,65.0,82000,5,6040,1955,1955,0.0,0,0,1152,0,1152,6,0,0,0,0,0,0
6,84.0,160000,5,8658,1965,1965,101.0,445,1088,1324,0,1324,6,440,138,0,0,0,0
5,115.0,170000,6,16905,1959,1959,0.0,383,1350,1328,0,1328,5,308,104,0,0,0,0
5,,144000,7,9180,1983,1983,0.0,0,840,884,0,884,5,504,0,0,0,0,0
5,,130250,6,9200,1975,1980,0.0,167,938,938,0,938,5,308,0,0,0,0,0
5,70.0,141000,6,7945,1959,1959,0.0,465,1150,1150,0,1150,6,300,0,0,0,0,0
9,61.0,319900,5,7658,2005,2005,412.0,1296,1752,1752,0,1752,6,576,82,0,0,0,0
7,48.0,239686,5,12822,2003,2003,0.0,83,1434,1518,631,2149,6,670,43,0,0,198,0
8,84.0,249700,5,11096,2006,2006,0.0,1632,1656,1656,0,1656,7,826,146,0,0,0,0
4,33.0,113000,5,4456,1920,2008,0.0,736,736,736,716,1452,8,0,0,102,0,0,0
5,66.0,127000,7,7742,1966,1966,0.0,192,955,955,0,955,6,386,0,0,0,0,0
6,,177000,6,13869,1997,1997,0.0,612,794,794,676,1470,6,388,75,0,0,0,0
6,52.0,114500,6,6240,1934,1950,0.0,816,816,816,0,1176,6,528,0,0,0,0,0
5,110.0,110000,5,8472,1963,1963,0.0,0,816,816,0,816,5,516,0,0,0,0,0
9,68.0,385000,5,50271,1981,1987,0.0,32,1842,1842,0,1842,5,894,72,0,0,0,0
5,60.0,130000,5,7134,1955,1955,0.0,0,384,1360,0,1360,6,572,50,0,0,0,0
6,100.0,180500,5,10175,1964,1964,272.0,935,1425,1425,0,1425,7,576,0,0,407,0,0
8,24.0,172500,5,2645,1999,2000,456.0,321,970,983,756,1739,7,480,0,0,0,0,0
7,89.0,196500,5,11645,2004,2004,0.0,860,860,860,860,1720,7,565,70,0,0,0,0
10,66.0,438780,5,13682,2006,2006,1031.0,1410,1410,1426,1519,2945,10,641,0,37,0,0,0
5,60.0,124900,7,7200,1972,1972,0.0,148,780,780,0,780,4,352,0,0,0,0,0
6,63.0,158000,5,13072,2004,2004,0.0,217,1158,1158,0,1158,5,576,50,0,0,0,0
5,60.0,101000,7,7200,1920,1996,0.0,530,530,581,530,1111,6,288,0,144,0,0,0
8,44.0,202500,5,6442,2006,2006,178.0,1346,1370,1370,0,1370,6,484,49,0,0,0,0
7,50.0,140000,6,10300,1921,1950,0.0,576,576,902,808,1710,9,480,11,64,0,0,0
7,,219500,5,9375,1997,1998,573.0,318,1057,1057,977,2034,8,645,36,0,0,0,0
8,76.0,317000,5,9591,2004,2005,344.0,1143,1143,1143,1330,2473,9,852,151,0,0,0,0
7,,180000,5,19900,1970,1989,287.0,1035,1947,2207,0,2207,7,576,0,0,0,0,0
7,72.0,226000,5,10665,2003,2003,167.0,440,1453,1479,0,1479,7,558,29,0,0,0,0
4,47.0,80000,6,4608,1945,1950,0.0,747,747,747,0,747,4,220,0,0,0,0,0
7,81.0,225000,4,15593,1953,1953,0.0,701,1304,1304,983,2287,7,667,21,114,0,0,0
7,95.0,244000,6,13651,1973,1973,1115.0,343,2223,2223,0,2223,8,516,0,0,0,0,0
4,69.0,129500,6,7599,1982,2006,0.0,280,845,845,0,845,4,360,0,0,0,0,0
7,74.0,185000,5,10141,1998,1998,40.0,832,832,885,833,1718,7,427,94,0,0,291,0
5,85.0,144900,7,10200,1954,2003,104.0,404,1086,1086,0,1086,6,490,0,0,0,0,0
3,60.0,107400,6,5790,1915,1950,0.0,840,840,840,765,1605,8,379,0,202,0,0,0
4,21.0,91000,5,1596,1973,1973,0.0,0,462,526,462,988,5,297,101,0,0,0,0
4,,135750,7,8475,1956,1956,0.0,724,952,952,0,952,4,283,0,0,0,0,0
5,50.0,127000,5,8635,1948,2001,0.0,295,672,1072,213,1285,6,240,0,0,0,0,0
4,72.0,136500,5,10778,1968,1968,0.0,1768,1768,1768,0,1768,8,0,0,0,0,0,0
5,60.0,110000,6,10440,1910,1981,0.0,440,440,682,548,1230,5,440,0,128,0,0,0
6,100.0,193500,6,13000,1968,1968,576.0,448,896,1182,960,2142,8,509,72,0,0,252,0
6,32.0,153500,5,4500,1998,1998,443.0,36,1237,1337,0,1337,5,405,199,0,0,0,0
8,78.0,245000,5,10206,2007,2007,468.0,1530,1563,1563,0,1563,6,758,99,0,0,0,0
5,80.0,126500,5,8892,1960,1960,66.0,1065,1065,1065,0,1065,6,461,0,0,0,0,0
7,,168500,5,8530,1995,1996,22.0,384,384,804,670,1474,7,400,72,0,0,0,0
8,121.0,260000,5,16059,1991,1992,284.0,1288,1288,1301,1116,2417,9,462,82,0,0,0,0
6,122.0,174000,5,11911,2005,2005,0.0,684,684,684,876,1560,6,400,38,0,0,0,0
6,40.0,164500,5,3951,2009,2009,76.0,612,612,612,612,1224,4,528,234,0,0,0,0
3,105.0,85000,2,8470,1915,1982,0.0,1013,1013,1013,0,1526,6,0,0,156,0,0,0
4,60.0,123600,5,8070,1994,1995,0.0,402,990,990,0,990,5,0,0,0,0,0,0
4,60.0,109900,5,7200,1950,1950,0.0,0,0,1040,0,1040,4,420,29,0,0,0,0
5,85.0,98600,3,8500,1961,1961,203.0,635,1235,1235,0,1235,6,480,0,0,0,0,0
5,80.0,163500,7,13360,1921,2006,0.0,163,876,964,0,964,5,432,0,44,0,0,0
6,60.0,133900,6,7200,1910,1998,0.0,168,1214,1260,1031,2291,9,506,0,0,0,99,0
6,69.0,204750,5,9337,1997,1997,0.0,176,824,905,881,1786,7,684,162,0,0,0,0
6,,185000,8,9765,1993,1993,68.0,370,680,680,790,1470,6,420,63,0,0,0,0
7,78.0,214000,5,10264,1999,1999,183.0,426,1588,1588,0,1588,6,472,29,0,0,0,0
4,73.0,94750,5,10921,1965,1965,48.0,440,960,960,0,960,6,432,0,0,0,0,0
5,85.0,83000,5,10625,1920,1950,0.0,350,458,835,0,835,5,366,0,77,0,0,0
4,77.0,128950,5,9320,1959,1959,0.0,381,950,1225,0,1225,6,0,0,0,0,0,0
6,,205000,7,10603,1977,2001,28.0,410,1610,1610,0,1610,6,480,68,0,0,0,0
6,77.0,178000,5,9206,1985,1985,336.0,741,741,977,755,1732,7,476,46,0,0,0,0
5,64.0,118964,5,7018,1979,1979,0.0,0,0,1535,0,1535,8,410,0,0,0,0,0
7,94.0,198900,5,10402,2009,2009,0.0,1226,1226,1226,0,1226,6,740,36,0,0,0,0
7,,169500,4,7758,1931,1950,600.0,816,1040,1226,592,1818,7,240,0,0,0,184,0
8,75.0,250000,5,9375,2003,2004,768.0,1053,1053,1053,939,1992,9,648,45,0,0,0,0
4,60.0,100000,7,10800,1885,1995,0.0,641,641,1047,0,1047,6,273,0,0,0,0,0
5,50.0,115000,5,6000,1948,1950,0.0,516,789,789,0,789,5,250,0,0,0,0,0
5,85.0,115000,7,8500,1919,2005,0.0,793,793,997,520,1517,7,0,0,144,0,0,0
6,105.0,190000,6,11751,1977,1977,480.0,1139,1844,1844,0,1844,7,546,122,0,0,0,0
6,75.0,136900,4,9525,1954,1972,0.0,550,994,1216,639,1855,7,325,0,0,0,0,0
7,,180000,5,7750,2000,2000,0.0,134,384,774,656,1430,7,400,0,0,0,0,0
7,77.0,383970,5,9965,2007,2007,220.0,280,1264,1282,1414,2696,10,792,184,0,0,168,0
6,,217000,5,21000,1953,1953,184.0,905,1809,2259,0,2259,7,450,120,192,0,0,0
6,61.0,259500,8,7259,1945,2002,0.0,104,1028,1436,884,2320,9,180,0,0,0,0,0
6,34.0,176000,5,3230,1999,1999,1129.0,310,729,729,729,1458,5,440,32,0,0,0,0
5,,139000,5,11616,1962,1962,116.0,252,1092,1092,0,1092,6,288,20,144,0,0,0
5,74.0,155000,5,8536,2006,2007,0.0,1125,1125,1125,0,1125,5,430,64,0,0,0,0
7,90.0,320000,5,12376,1990,1990,0.0,203,1673,1699,1523,3222,11,594,0,0,0,0,0
6,65.0,163990,5,8461,2005,2006,0.0,728,728,728,728,1456,8,390,24,0,0,0,0
6,,180000,5,21453,1969,1969,0.0,0,938,988,0,988,4,540,130,0,130,0,0
4,50.0,100000,5,6060,1939,1950,0.0,732,732,772,351,1123,4,264,0,140,0,0,0
6,75.0,136000,7,9464,1958,1958,135.0,510,1080,1080,0,1080,5,288,0,0,0,130,0
6,55.0,153900,5,7892,1993,1993,0.0,899,1199,1199,0,1199,5,530,63,0,0,0,0
6,48.0,181000,5,17043,1979,1998,0.0,1362,1362,1586,0,1586,7,435,0,0,0,0,0
6,60.0,84500,8,6780,1935,1982,0.0,30,520,520,0,754,5,0,0,0,0,0,0
6,,128000,5,4928,1976,1976,0.0,958,1078,958,0,958,5,440,205,0,0,0,0
5,55.0,87000,7,4388,1930,1950,0.0,556,672,840,0,840,5,0,0,0,0,0,0
6,69.0,155000,5,7590,1966,1966,266.0,148,660,660,688,1348,6,453,108,0,0,0,0
5,69.0,150000,7,8973,1958,1991,85.0,413,1008,1053,0,1053,6,750,80,0,180,0,0
7,88.0,226000,6,14200,1966,1966,309.0,479,924,1216,941,2157,8,487,66,0,0,0,0
6,,244000,5,12224,2000,2000,40.0,297,992,1022,1032,2054,7,390,48,0,0,0,0
5,75.0,150750,6,7388,1959,2002,0.0,658,1063,1327,0,1327,7,624,0,0,0,0,0
8,,220000,5,6853,2001,2002,136.0,262,1267,1296,0,1296,6,471,25,0,0,0,0
5,78.0,180000,6,10335,1968,1993,0.0,891,1461,1721,0,1721,7,440,96,180,0,0,0
7,80.0,174000,6,10400,1970,1970,288.0,1304,1304,1682,0,1682,7,530,0,0,0,0,0
5,,143000,5,10355,1967,1967,196.0,519,1214,1214,0,1214,5,318,111,0,0,0,0
7,82.0,171000,5,11070,1988,1989,70.0,1907,1907,1959,0,1959,9,766,0,0,0,0,0
8,73.0,230000,5,9066,1999,2000,320.0,336,1004,1004,848,1852,7,660,106,0,0,0,0
6,65.0,231500,5,15426,1997,1997,0.0,107,928,928,836,1764,7,470,99,0,0,0,0
4,70.0,115000,5,10500,1971,1971,0.0,432,864,864,0,864,5,0,0,0,0,0,0
7,78.0,260000,5,11645,2005,2005,0.0,434,1734,1734,0,1734,7,660,24,0,0,0,0
5,71.0,166000,4,8520,1952,1952,0.0,403,910,910,475,1385,6,720,0,0,0,0,0
7,78.0,204000,5,10335,1999,1999,183.0,811,1490,1501,0,1501,6,577,29,0,0,0,0
5,70.0,125000,5,9100,1963,1963,336.0,396,1728,1728,0,1728,10,504,0,0,0,0,0
6,24.0,130000,5,2522,2004,2006,50.0,970,970,970,739,1709,7,380,40,0,0,0,0
5,51.0,105000,7,6120,1931,1993,0.0,506,715,875,0,875,5,180,0,0,0,0,0
7,,222500,5,9505,2001,2001,180.0,884,884,884,1151,2035,8,434,48,0,0,0,0
7,63.0,141000,5,7500,2004,2005,120.0,400,1080,1080,0,1080,6,0,0,0,0,0,0
5,,115000,4,6240,1936,1950,0.0,896,896,896,448,1344,7,240,114,0,0,0,0
5,120.0,122000,6,10356,1975,1975,0.0,253,969,969,0,969,5,440,0,0,0,0,0
8,107.0,372402,5,13891,2007,2008,436.0,310,1710,1710,0,1710,6,866,102,0,0,0,0
6,,190000,5,14803,1971,1971,252.0,409,825,1097,896,1993,8,495,66,0,0,0,0
6,,235000,7,13500,1960,1975,0.0,93,1602,1252,0,1252,4,564,0,0,0,0,0
6,84.0,125000,5,11340,1923,1950,0.0,1200,1200,1200,0,1200,7,312,0,228,0,0,0
6,60.0,79000,5,9600,1924,1950,0.0,572,572,572,524,1096,5,0,8,128,0,0,0
5,60.0,109500,7,7200,1950,1950,0.0,0,0,1040,0,1040,5,625,0,0,0,0,0
8,92.0,269500,5,12003,2009,2010,84.0,774,774,774,1194,1968,8,680,75,0,0,0,0
7,100.0,254900,5,12552,2004,2005,0.0,769,991,991,956,1947,8,678,136,0,0,0,0
7,134.0,320000,5,19378,2005,2006,456.0,1335,1392,1392,1070,2462,9,576,132,0,168,0,0
6,,162500,6,11120,1984,1984,0.0,572,1232,1232,0,1232,6,516,0,0,0,0,0
9,110.0,412500,5,13688,2003,2004,664.0,556,1572,1572,1096,2668,10,726,0,0,0,0,0
7,95.0,220000,5,12182,2005,2005,226.0,340,1541,1541,0,1541,7,532,70,0,0,0,0
4,55.0,103200,6,5500,1956,1956,0.0,882,882,882,0,882,4,0,0,0,0,0,0
6,40.0,152000,7,5400,1926,2004,0.0,779,1149,1149,467,1616,5,216,0,183,0,0,0
5,62.0,127500,7,10106,1940,1999,0.0,112,644,808,547,1355,6,0,0,0,0,0,0
5,,190000,5,10708,1955,1993,0.0,470,1617,1867,0,1867,7,303,0,0,0,142,0
8,86.0,325624,5,10562,2007,2007,300.0,294,1582,1610,551,2161,8,789,120,0,0,0,0
7,62.0,183500,5,8244,2004,2004,0.0,840,840,840,880,1720,7,440,48,0,0,0,0
8,,228000,6,16669,1981,1981,653.0,1686,1686,1707,0,1707,6,511,64,0,0,0,0
5,,128500,6,12358,1941,1950,0.0,360,720,854,0,1382,7,660,0,0,0,0,0
6,141.0,215000,5,31770,1960,1960,112.0,441,1080,1656,0,1656,7,528,62,0,0,0,0
7,44.0,239000,7,5306,1987,1987,0.0,354,1064,1064,703,1767,5,504,35,0,0,0,0
6,80.0,163000,5,10197,1961,1961,491.0,700,1362,1362,0,1362,6,504,20,0,0,0,0
6,47.0,184000,5,12416,1986,1986,132.0,0,1606,1651,0,1651,7,616,0,0,0,0,0
6,84.0,243000,7,12615,1950,2001,0.0,725,1202,2158,0,2158,7,576,29,39,0,0,0
6,97.0,211000,5,10029,1988,1989,268.0,320,1151,1164,896,2060,8,521,228,0,0,192,0
5,,172500,5,13650,1958,1958,0.0,554,1052,1252,668,1920,8,451,0,0,0,0,0
9,63.0,501837,5,17423,2008,2009,748.0,312,2216,2234,0,2234,9,1166,60,0,0,0,0
5,60.0,100000,6,8520,1923,2006,0.0,968,968,968,0,968,5,480,0,184,0,0,0
6,,177000,5,2117,2000,2000,456.0,320,756,769,756,1525,5,440,0,0,0,0,0
7,54.0,200100,6,7588,1920,1950,0.0,441,793,901,901,1802,9,216,0,40,0,0,0
5,60.0,120000,6,9060,1957,2006,98.0,0,0,1340,0,1340,7,252,0,0,180,0,0
7,63.0,200000,5,11426,2003,2003,0.0,1362,1362,1362,720,2082,6,484,238,0,0,0,0
5,92.0,127000,8,7438,1908,1991,0.0,504,504,936,316,1252,5,576,0,0,0,0,0
10,90.0,475000,9,22950,1892,1993,0.0,1107,1107,1518,1518,3608,12,840,260,0,0,410,0
7,,173000,5,9947,1990,1991,0.0,577,1188,1217,0,1217,6,497,27,0,0,0,0
5,60.0,135000,7,10410,1916,1987,0.0,660,660,808,704,1656,8,180,0,0,140,0,0
5,64.0,153337,5,7018,1979,1979,275.0,0,1086,1224,0,1224,6,528,0,0,0,0,0
8,41.0,286000,5,4923,2001,2002,0.0,440,1593,1593,0,1593,5,682,120,0,0,224,0
8,70.0,315000,8,10570,1932,1994,0.0,556,853,1549,1178,2727,10,440,74,0,0,0,0
7,,184000,9,7472,1972,2004,138.0,99,725,725,754,1479,7,484,32,0,0,0,0
7,68.0,192000,5,9017,1999,1999,0.0,871,1431,1431,0,1431,6,666,35,0,0,0,0
7,24.0,130000,5,2522,2004,2004,50.0,970,970,970,739,1709,7,380,40,0,0,0,0
5,60.0,127000,7,7180,1972,1972,0.0,474,864,864,0,864,5,352,0,0,0,0,0
6,24.0,148500,6,2280,1976,1976,0.0,289,855,855,601,1456,7,440,0,0,0,0,0
7,79.0,311872,5,9416,2007,2007,205.0,600,1726,1726,0,1726,8,786,138,0,0,266,0
8,174.0,235000,4,25419,1918,1990,0.0,140,1360,1360,1360,3112,8,795,16,552,0,0,512
6,92.0,104000,6,5520,1912,1950,0.0,755,755,929,929,2229,8,0,198,30,0,0,0
8,76.0,274900,5,9591,2004,2005,262.0,625,1713,1713,0,1713,7,856,26,0,0,170,0
4,80.0,140000,5,8546,2003,2004,0.0,1121,1121,1121,0,1121,5,440,64,0,0,0,0
6,75.0,171500,6,10125,1977,1977,0.0,276,1196,1279,0,1279,6,473,83,0,0,0,0
6,50.0,112000,6,7000,1924,1950,0.0,0,617,865,445,1310,6,398,0,126,0,0,0
6,,149000,5,4438,2004,2004,205.0,186,848,848,0,848,3,420,0,0,0,0,0
5,50.0,110000,7,3500,1947,1950,0.0,408,720,720,564,1284,5,240,35,0,0,0,0
7,99.0,180500,5,11851,1990,1990,0.0,1424,1424,1442,0,1442,5,500,34,0,508,0,0
5,40.0,143900,5,13673,1962,1962,0.0,1140,1140,1696,0,1696,8,349,30,0,0,0,0
4,,141000,5,12493,1960,1960,0.0,375,1100,1100,0,1100,6,312,0,0,0,0,0
7,,277000,5,14364,1988,1989,128.0,92,1157,1180,882,2062,7,454,55,0,0,154,0
6,75.0,145000,7,8250,1964,1964,260.0,305,1092,1092,0,1092,6,504,0,0,0,0,0
5,67.0,98000,6,5604,1925,1950,0.0,396,864,864,0,864,5,0,0,96,0,0,0
6,83.0,186000,5,10420,2009,2009,0.0,1176,1212,1212,0,1212,6,460,22,0,0,0,0
7,72.0,252678,5,8640,2009,2009,0.0,78,900,932,920,1852,7,644,108,0,0,0,0
5,43.0,156000,5,13568,1995,1995,0.0,274,990,990,0,990,5,576,0,0,0,0,0
6,,161750,7,10900,1977,1977,153.0,311,689,689,703,1392,6,299,36,0,0,0,0
5,72.0,134450,6,10011,1957,1996,64.0,710,1070,1236,0,1236,6,447,0,0,0,0,0
7,65.0,210000,5,8450,2004,2004,266.0,490,1436,1436,0,1436,8,484,98,0,0,0,0
4,57.0,107000,4,9906,1925,1950,0.0,686,686,810,518,1328,8,210,172,60,0,0,0
7,,311500,9,15660,1939,2006,312.0,457,798,1137,817,1954,8,431,119,150,0,0,0
7,43.0,167240,5,3010,2005,2006,16.0,1232,1248,1248,0,1248,5,438,0,0,0,0,0
7,73.0,204900,5,8990,2006,2006,0.0,1498,1498,1498,0,1498,5,675,33,0,0,0,0
6,,200000,5,8068,2002,2002,0.0,1010,1010,1010,1257,2267,8,390,46,0,0,0,0
6,85.0,179900,6,11475,1975,1975,0.0,163,713,811,741,1552,6,434,208,0,0,0,0
4,70.0,97000,6,10500,1971,1971,0.0,160,864,864,0,864,4,576,0,0,0,0,0
10,103.0,386250,5,13472,2003,2003,922.0,2336,2392,2392,0,2392,8,968,105,0,0,0,0
5,21.0,112000,5,1680,1971,1971,142.0,630,630,630,672,1302,6,280,0,0,0,0,0
7,82.0,290000,5,9950,1995,1995,290.0,638,1203,1214,1306,2520,9,721,114,0,0,0,0
6,21.0,106000,6,1869,1970,1970,127.0,162,483,483,504,987,5,280,0,0,0,0,0
5,70.0,125000,5,8521,1967,1967,0.0,70,912,912,0,912,5,336,0,0,0,0,0
7,43.0,192500,5,3182,2005,2006,16.0,1357,1373,1555,0,1555,7,430,20,0,0,0,0
6,73.0,148000,6,8760,1959,1959,220.0,1194,1194,1194,0,1194,6,312,0,120,0,0,0
8,174.0,403000,5,15138,1995,1996,506.0,773,1462,1490,1304,2794,9,810,146,202,0,0,0
6,21.0,94500,5,1680,1972,1972,297.0,483,483,483,504,987,5,288,0,0,0,0,0
5,75.0,128200,6,10650,1976,1976,0.0,0,894,894,0,894,5,308,0,0,0,0,0
6,,216500,5,7851,2002,2002,,235,860,860,1100,1960,8,440,48,0,0,0,0
6,21.0,89500,3,1680,1971,1971,604.0,125,483,483,504,987,5,264,0,0,0,0,0
7,65.0,185500,5,8773,2004,2004,98.0,1390,1414,1414,0,1414,6,494,105,0,0,0,0
7,,194500,7,9453,1993,2003,0.0,594,996,1014,730,1744,7,457,70,0,238,0,0
8,93.0,318000,5,12030,2007,2007,254.0,1694,1694,1694,0,1694,7,818,228,0,0,0,0
6,52.0,113000,4,8741,1945,1950,0.0,641,735,798,689,1487,7,220,140,0,0,0,0
8,75.0,262500,5,9000,2008,2008,36.0,488,1566,1566,0,1566,7,750,168,0,0,0,0
5,40.0,110500,9,3880,1945,1997,0.0,357,686,866,0,866,4,0,42,0,0,0,0
5,63.0,79000,4,5000,1900,1950,0.0,540,540,889,551,1440,6,352,0,77,0,0,0
6,75.0,120000,6,10762,1980,1980,0.0,626,626,626,591,1217,6,288,28,0,0,0,0
7,,205000,5,8880,1994,2002,0.0,253,948,1222,888,2110,8,463,130,0,0,0,0
7,80.0,241500,5,10400,1988,1988,102.0,916,1845,1872,0,1872,6,604,39,0,0,0,0
6,69.0,137000,8,9142,1910,1950,0.0,1020,1020,908,1020,1928,9,440,60,112,0,0,0
6,75.0,140000,5,11310,1954,1954,0.0,1367,1367,1375,0,1375,5,451,30,0,0,0,0
7,72.0,180000,5,11317,2003,2003,101.0,840,840,840,828,1668,8,500,68,0,0,0,0
6,,277000,7,159000,1958,2006,472.0,747,1444,1444,700,2144,7,389,98,0,0,0,0
3,55.0,76500,2,5350,1940,1966,0.0,728,728,1306,0,1306,6,0,0,0,0,0,0
8,44.0,235000,5,4750,2006,2007,481.0,0,1573,1625,0,1625,5,538,0,0,0,153,0
6,65.0,173000,5,8366,2004,2004,0.0,798,798,798,842,1640,6,520,45,0,0,0,0
6,85.0,158000,7,9350,1964,1991,108.0,452,1302,1302,0,1302,7,309,0,0,0,0,0
5,70.0,145000,6,8400,1957,1957,0.0,392,1314,1314,0,1314,5,294,0,0,0,0,0
7,66.0,230000,5,8738,1999,1999,302.0,975,975,1005,1286,2291,8,429,0,0,0,0,0
6,64.0,207500,5,8791,2003,2003,0.0,361,864,864,864,1728,7,673,56,0,0,0,0
7,68.0,220000,5,8814,2006,2006,180.0,270,1604,1604,0,1604,8,660,110,0,0,0,0
7,80.0,231500,5,12435,2001,2001,172.0,602,963,963,829,1792,7,564,96,0,245,0,0
5,70.0,97000,5,12702,1956,1956,0.0,0,0,882,0,882,4,308,45,0,0,0,0
6,120.0,176000,5,19296,1962,1962,399.0,0,1362,1382,0,1382,6,884,0,252,0,0,0
8,69.0,276000,5,9588,2007,2007,270.0,1482,1482,1482,1092,2574,10,868,148,0,0,0,0
6,88.0,151000,7,8471,1977,1995,46.0,0,506,1212,0,1212,6,492,12,0,0,0,0
5,50.0,130000,7,5500,1929,2001,0.0,0,926,926,0,1316,6,484,0,0,0,0,0
5,30.0,73000,5,5232,1925,2004,0.0,680,680,764,0,764,4,504,0,0,0,0,0
6,78.0,175500,6,12090,1981,1981,210.0,606,1422,1422,0,1422,7,576,0,0,0,0,0
6,70.0,185000,5,11207,1997,1997,0.0,88,802,802,709,1511,8,413,75,0,0,0,0
5,60.0,179500,8,8400,1939,1997,0.0,342,720,1052,720,2192,8,240,24,0,0,0,0
5,71.0,120500,6,6900,1940,1955,0.0,212,740,778,0,778,4,924,25,0,0,0,0
6,,148000,7,7917,1976,1976,174.0,392,1143,1113,0,1113,6,504,30,0,0,0,0
8,84.0,266000,5,10728,2006,2006,0.0,1095,1095,1095,844,1939,8,1053,51,0,0,0,0
7,73.0,241500,7,39104,1954,2005,0.0,96,1385,1363,0,1363,5,439,0,0,0,0,0
8,92.0,290000,7,11764,1999,2007,348.0,628,1152,1164,1106,2270,9,671,57,0,0,0,0
6,80.0,139000,6,9600,1958,1988,183.0,0,1240,1632,0,1632,6,338,0,0,0,0,0
5,76.0,124500,7,8314,1982,1982,0.0,270,816,816,0,816,5,264,0,0,0,0,0
